CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-7184-46,01-317,GUATEMALA,GUATEMALA,centro de aprendizaje integral en computacion caic,11 av 12-13,22533621,Mariano Domingo Estrada Teletor, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7218-46,01-301,GUATEMALA,GUATEMALA,liceo tecnico comercial,4ta av 5-26,22329118,Erick Estuardo Sanchez Archila,Victor Hugo Orozco Ruiz,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7221-46,01-403,GUATEMALA,GUATEMALA,liceo tecnico comercial,4a avenida 5-26,22329118,Carlos Humberto Gonzalez De Leon,Victor Hugo Orozco Ruiz,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7256-46,01-403,GUATEMALA,GUATEMALA,instituto americano en ciencias de computacion,6ta avenida 18-23,22322912,Carlos Humberto Gonzalez De Leon,Marco Antonio Castaneda Flores,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7260-46,01-627,GUATEMALA,GUATEMALA,colegio cientifico secretarial guatemalteco,8acalle 2-29,42082118,Isaura Amparo Recinos Carrillo,Jorge Heriberto Estrada Castillo,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7261-46,01-627,GUATEMALA,GUATEMALA,colegio cientifico secretarial guatemalteco,8acalle 2-29,42082118,Isaura Amparo Recinos Carrillo,Jorge Heriberto Estrada Castillo,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7262-46,01-312,GUATEMALA,GUATEMALA,colegio cientifico secretarial guatemalteco,8acalle 2-29,22515677,Amado Salomon Flores Perez,Jorge Heriberto Estrada Castillo,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7263-46,,GUATEMALA,GUATEMALA,colegio secretarial guatemalteco,5a calle 0-65 zona 1,22323368,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7291-46,,GUATEMALA,GUATEMALA,liceo tikal,12 ave a 20-43 zona 1,22380144,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7293-46,,GUATEMALA,GUATEMALA,colegio maybal,5a calle 0-65 zona 1,22323065,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7294-46,,GUATEMALA,GUATEMALA,colegio maybal,5a calle 0-65 zona 1,,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7295-46,01-627,GUATEMALA,GUATEMALA,colegio maybal,5ta calle 0-65,22323065,Isaura Amparo Recinos Carrillo, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7314-46,01-318,GUATEMALA,GUATEMALA,centro de formacion preuniversitaria dr reichmann cefpre,5av 2-43,22329834,Leslie Azucena Monzon Tecun,Ana Isabel Cante Ramos,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7321-46,01-312,GUATEMALA,GUATEMALA,liceo tecnico ciencia y desarrollo,10a calle 3-15,36117881,Amado Salomon Flores Perez,Myriam Jeannette Cifuentes Ortiz,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7324-46,01-403,GUATEMALA,GUATEMALA,liceo cristiano cantares,12 ave 3-03,22211142,Carlos Humberto Gonzalez De Leon,Eva Marroquin Coy,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7326-46,,GUATEMALA,GUATEMALA,centro profesional de estudios en computacion,2a calle 10-77 zona 1,"238-4425,251-4792",,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7329-46,01-403,GUATEMALA,GUATEMALA,centro profesional de estudios en computacion,2a calle 10-77,22384425,Carlos Humberto Gonzalez De Leon,Jose Francisco Hernandez Rodas,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SABATINO,GUATEMALA NORTE
00-01-7361-46,01-301,GUATEMALA,GUATEMALA,instituto normal para senoritas centro america inca,1a calle c 2-29,22200329,Erick Estuardo Sanchez Archila,Fernando Mauricio Ruano Marroquin,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7376-46,01-403,GUATEMALA,GUATEMALA,centro profesional de estudios en computacion,2a calle 10-77,22384425,Carlos Humberto Gonzalez De Leon,Iris Nineth Rueda Arriola,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7378-46,01-403,GUATEMALA,GUATEMALA,centro profesional de estudios en computacion,2a calle 10-77,22384425,Carlos Humberto Gonzalez De Leon,Jose Francisco Hernandez Rodas,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7388-46,01-403,GUATEMALA,GUATEMALA,centro de estudios comerciales en informatica,12 calle 10-37 27012022,,Carlos Humberto Gonzalez De Leon, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7573-46,01-301,GUATEMALA,GUATEMALA,escuela nacional de formacion secretarial no3,3a calle 1-33,22500422,Erick Estuardo Sanchez Archila,Silvia Urrutia Garcia,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7577-46,01-102,GUATEMALA,GUATEMALA,colegio o meany,15 ave 2-63,22530372,Zizi Arely Lopez Chinchilla,,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7588-46,01-317,GUATEMALA,GUATEMALA,colegio de computacion electronica y electricidad,15 calle a 12-37,22517616,Mariano Domingo Estrada Teletor,Antonia Erasmina Romero Imeri,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7597-46,01-403,GUATEMALA,GUATEMALA,centro tecnologico de computacion la merced sa,5ta calle 10-22,22325857,Carlos Humberto Gonzalez De Leon,Maria Romelia Carrera Alvizures,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7611-46,01-305,GUATEMALA,GUATEMALA,centro educativo alto desarrollo,11 avenida 10-67,22539153,Isis Irazema Canel Palma,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7632-46,01-407,GUATEMALA,GUATEMALA,cpum colegio privado mixto en computacion versalles,2acalle 6-33,,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,MIXTO,GUATEMALA NORTE
00-01-7644-46,01-403,GUATEMALA,GUATEMALA,liceo mixto en computacion ixchel,5av 3-79,23164224,Carlos Humberto Gonzalez De Leon,Hector Arnulfo Castellanos,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7654-46,01-403,GUATEMALA,GUATEMALA,colegio mixto indo latino,4av 13-35,22380338,Carlos Humberto Gonzalez De Leon,Sonia Estela Ramirez Morales,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7655-46,01-627,GUATEMALA,GUATEMALA,colegio mixto indo latino,4av 13-35,22380338,Isaura Amparo Recinos Carrillo,Sonia Estela Ramirez Morales,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7667-46,01-312,GUATEMALA,GUATEMALA,liceo clasico de computacion,4a calle 5-52,23041515,Amado Salomon Flores Perez,Miguel Alfonso Lemus Altan,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7670-46,01-315,GUATEMALA,GUATEMALA,liceo clasico de computacion,4a calle 5-52 zona 1,22512449,Aura Marina Garrido Morales,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7706-46,01-317,GUATEMALA,GUATEMALA,instituto de estudios especializados en ciencias de la computacion,3a calle 3-59,22381161,Mariano Domingo Estrada Teletor,Delfino Heriberto Hernandez Castillo,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7707-46,01-317,GUATEMALA,GUATEMALA,instituto de estudios especializados en ciencias de la computacion,3a calle 3-59,22326648,Mariano Domingo Estrada Teletor,Delfino Heriberto Hernandez Castillo,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7710-46,01-627,GUATEMALA,GUATEMALA,instituto de estudios especializados en ciencias de la computacion,3a calle 3-59,22381161,Isaura Amparo Recinos Carrillo,Delfino Heriberto Hernandez Castillo,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7711-46,01-402,GUATEMALA,GUATEMALA,instituto de estudios especializados en ciencias de la computacion,3a calle 3-59,22326648,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7721-46,01-403,GUATEMALA,GUATEMALA,liceo de computacion siglo 21 no2,13 calle 9-60,22959172,Carlos Humberto Gonzalez De Leon,Jorge Rolando Morales Paz,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7729-46,01-403,GUATEMALA,GUATEMALA,liceo clasico de computacion,4a calle 5-52,23041515,Carlos Humberto Gonzalez De Leon,Miguel Alfonso Lemus Altan,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7742-46,01-303,GUATEMALA,GUATEMALA,colegio mixto padre betanzos,10 calle 12-90,22384283,Claudia Patricia Ruiz Casasola De Estrada,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7744-46,,GUATEMALA,GUATEMALA,colegio mixto padre betanzos,10 calle 12-90 zona 1,238-4283/2384284,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7809-46,01-403,GUATEMALA,GUATEMALA,instituto rafael landivar,8a calle 12-46,22516035,Carlos Humberto Gonzalez De Leon,Armando Roderico Sosa Estrada,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7814-46,,GUATEMALA,GUATEMALA,colegio omeany,15 ave 2-63,,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,SABATINO,GUATEMALA NORTE
00-01-7820-46,01-403,GUATEMALA,GUATEMALA,colegio sistematizado en computacion,4a avenida 1-21 zona 1,"2325732, 2320075, 2307014",Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DOMINICAL,GUATEMALA NORTE
00-01-7821-46,01-403,GUATEMALA,GUATEMALA,colegio sistematizado en computacion,4a avenida 1-21 zona 1,"2325732, 2320075, 2307014",Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,SABATINO,GUATEMALA NORTE
00-01-7839-46,01-316,GUATEMALA,GUATEMALA,liceo profesional de informatica y tecnologia,9a calle 0-39,22532566,Carlos Humberto Gonzalez De Leon,Manuel De Jesus Juarez Garcia,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7840-46,,GUATEMALA,GUATEMALA,liceo profesional de informatica y tecnologia,9a calle 0-39,"2532566,2329566",,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7841-46,01-403,GUATEMALA,GUATEMALA,liceo profesional de informatica y tecnologia,9a calle 0-39,52331784,Carlos Humberto Gonzalez De Leon,Manuel De Jesus Juarez Garcia,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7849-46,,GUATEMALA,GUATEMALA,instituto rafael landivar,7a calle 2-54 zona 1,22514714,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7910-46,01-402,GUATEMALA,GUATEMALA,liceo jose de san martin,6a avenida 1-73,22322807,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-7911-46,01-318,GUATEMALA,GUATEMALA,liceo canadiense,11 calle 1-53,23750055,Leslie Azucena Monzon Tecun,Ada Lucrecia Mijangos Teo,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-7912-46,01-403,GUATEMALA,GUATEMALA,liceo canadiense,11 calle 1-53,23750055,Carlos Humberto Gonzalez De Leon,Ada Lucrecia Mijangos Teo,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7934-46,01-403,GUATEMALA,GUATEMALA,colegio la verdad,9a calle 3-19,22537837,Carlos Humberto Gonzalez De Leon, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-7964-46,01-317,GUATEMALA,GUATEMALA,colegio profesional en computacion sa,11 ave 11-41,22322208,Mariano Domingo Estrada Teletor, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8030-46,01-301,GUATEMALA,GUATEMALA,colegio bilingue especializado en computacion yulimay pc,12 calle 4-17,22091400,Erick Estuardo Sanchez Archila,Obduver Ubaldo Domingo Castanon,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8031-46,,GUATEMALA,GUATEMALA,colegio bilingue especializado en computacion yulimay pc,3era ave 13-23 zona 1,2329664-2500774,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8033-46,01-403,GUATEMALA,GUATEMALA,colegio bilingue especializado en computacion yulimay pc,12 calle 4-17,22091400,Carlos Humberto Gonzalez De Leon,Obduver Ubaldo Domingo Castanon,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8049-46,01-001,GUATEMALA,GUATEMALA,instituto bilingue guatemalteco,6a avenida 4-34 zona 1,22516977,Sandra Lizzeth Cruz Izaguirre, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8076-46,01-317,GUATEMALA,GUATEMALA,liceo tecnico integral en computacion y turismo,9a calle 3-25,22328164,Mariano Domingo Estrada Teletor,Juan Carlos Caballeros Cifuentes,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8082-46,01-403,GUATEMALA,GUATEMALA,centro tecnico de turismo banca y comercio john glenn,2a avenida 3-59,22321168,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8084-46,01-403,GUATEMALA,GUATEMALA,centro educativo paulo freire,8a avenida 2-19,22320173,Carlos Humberto Gonzalez De Leon, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8087-46,01-307,GUATEMALA,GUATEMALA,liceo tecnologico metropolitano de guatemala,5a avenida 3-55,22200542,Norma Aracely Palomo Franco De Diaz,Fredy Amilcar Cruz,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8096-46,01-403,GUATEMALA,GUATEMALA,liceo tecnologico metropolitano de guatemala,5a avenida 3-55,22327022,Carlos Humberto Gonzalez De Leon,Fredy Amilcar Cruz,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8098-46,,GUATEMALA,GUATEMALA,instituto federico crowe,4a ave 9-66,2517748-2384159,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8101-46,01-403,GUATEMALA,GUATEMALA,liceo tecnico integral en computacion y turismo,11 calle 10-55,22328164,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8126-46,01-402,GUATEMALA,GUATEMALA,escuela experimental del dia domingo para ninas trabajadoras,10 calle 10-49,22541311,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DOMINICAL,GUATEMALA NORTE
00-01-8158-46,01-312,GUATEMALA,GUATEMALA,centro de estudios comerciales en informatica,12 calle 10-37,22501016,Amado Salomon Flores Perez, ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8163-46,,GUATEMALA,GUATEMALA,liceo jireh,6a avenida 3-40 zona 1,22327132,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8165-46,01-401,GUATEMALA,GUATEMALA,liceo jireh,6a avenida 3-24,22327132,Ixmucane Aldana Villavicencio,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,SABATINO,GUATEMALA NORTE
00-01-8173-46,,GUATEMALA,GUATEMALA,liceo tecnologico bilingue,12 ave 8-35,22381292,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8174-46,01-316,GUATEMALA,GUATEMALA,colegio de computacion y sistemas electronicos,9a ave 12-73,22510252,Carlos Humberto Gonzalez De Leon, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8176-46,01-403,GUATEMALA,GUATEMALA,colegio de computacion y sistemas electronicos,9a ave 12-73,22510252,Carlos Humberto Gonzalez De Leon, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8199-46,01-403,GUATEMALA,GUATEMALA,instituto cientifico comercial en computacion,6av 1-34,22538736,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8201-46,01-310,GUATEMALA,GUATEMALA,centro educativo paulo freire,15 avenida 2-63 2202090220209,22322971,Alma Salguero De Salazar, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8209-46,01-403,GUATEMALA,GUATEMALA,instituto americano en ciencias de computacion,6ta avenida 18-23,22322912,Carlos Humberto Gonzalez De Leon,Marco Antonio Castaneda Flores,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-8216-46,,GUATEMALA,GUATEMALA,colegio bilingue especializado en computacion yulimay pc,3a avenida 13-23 zona 1,,,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DOMINICAL,GUATEMALA NORTE
00-01-8225-46,01-627,GUATEMALA,GUATEMALA,instituto particular mixto diurno jose marti por madurez,8a calle 12-41,22539053,Isaura Amparo Recinos Carrillo,Regina Coralia Garcia Contreras,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-8230-46,01-403,GUATEMALA,GUATEMALA,colegio mayb al,5ta calle 0-65,22323065,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-8231-46,01-402,GUATEMALA,GUATEMALA,colegio maybal,5ta calle 0-65,22323065,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-8270-46,01-301,GUATEMALA,GUATEMALA,escuela normal de parvulos adscrito al inca,1a calle 2-64,22518431,Erick Estuardo Sanchez Archila,Fernando Mauricio Ruano Marroquin,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8299-46,01-403,GUATEMALA,GUATEMALA,instituto americano en ciencias de computacion,6ta avenida 18-23,22322912,Carlos Humberto Gonzalez De Leon,Marco Antonio Castaneda Flores,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-8306-46,01-303,GUATEMALA,GUATEMALA,colegio la verdad,9a calle 3-44,22329759,Claudia Patricia Ruiz Casasola De Estrada,,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8323-46,01-318,GUATEMALA,GUATEMALA,liceo bilingue la puerta,6a avenida 2-34,22515451,Leslie Azucena Monzon Tecun,Maria Griselda Cabrera Castillo,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8337-46,01-402,GUATEMALA,GUATEMALA,centro de estudios mercadologicos y publicitarios cemp,8a avenida 3-50,22329819,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8338-46,01-402,GUATEMALA,GUATEMALA,centro de estudios mercadologicos y publicitarios cemp,8a avenida 3-50,22329819,Carlos Humberto Gonzalez De Leon, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8351-46,01-403,GUATEMALA,GUATEMALA,liceo de informatica y ciencias comerciales por madurez,4ta ave 17-55,22205215,Carlos Humberto Gonzalez De Leon,Francisco Gustavo Guevara Parada,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8352-46,01-403,GUATEMALA,GUATEMALA,liceo de informatica y ciencias comerciales,4ta ave 17-55,22321726,Carlos Humberto Gonzalez De Leon,Francisco Gustavo Guevara Parada,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8375-46,01-401,GUATEMALA,GUATEMALA,instituto profesional en computacion el amigo de la patria por madurez,9a calle 0-50,22539938,Ixmucane Aldana Villavicencio,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8379-46,01-307,GUATEMALA,GUATEMALA,escuela nacional central de formacion secretarial,12 avenida 9-27,22531686,Norma Aracely Palomo Franco De Diaz,Anselma Juarez Noriega,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8470-46,01-307,GUATEMALA,GUATEMALA,colegio mixto bilingue en computacion behula,4a calle 10-26,22532477,Norma Aracely Palomo Franco De Diaz,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-8478-46,01-643,GUATEMALA,GUATEMALA,instituto cientifico comercial en computacion por madurez,6a avenida 4-34 zona 1,,Cesar Augusto Ortiz Hernandez,,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8499-46,01-401,GUATEMALA,GUATEMALA,centro de educacion y cultura mirthala de hurtado,12 calle 10-37,22501016,Ixmucane Aldana Villavicencio,,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-8500-46,01-401,GUATEMALA,GUATEMALA,centro de educacion y cultura mirthala de hurtado,12 calle 10-37,22501016,Ixmucane Aldana Villavicencio,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-8504-46,01-403,GUATEMALA,GUATEMALA,escuela tecnica ciencia aplicada por madurez,10a calle 3-15,22203730,Carlos Humberto Gonzalez De Leon,Norma Judith Hidalgo Calderon,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8509-46,01-403,GUATEMALA,GUATEMALA,liceo tecnico integral en computacion y turismo por madurez,9a calle 3-25,22328164,Carlos Humberto Gonzalez De Leon,Juan Carlos Caballeros Cifuentes,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-8511-46,01-403,GUATEMALA,GUATEMALA,instituto tecnologico digitales comerciales,9a calle 0-44,22382722,Carlos Humberto Gonzalez De Leon,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
